BEDSCode,recType,name,currentCounts_onSitePositiveStudents,currentCounts_onSitePositiveTeachers,currentCounts_onSitePositiveStaff,StreetAddress,City,State,Zip+4,longitude,latitude
310200010040,Public,PS 40 AUGUSTUS SAINT-GAUDENS,0,0,0,320 E 20TH ST,NEW YORK,NY,100032898,-73.981536,40.735328
310200010041,Public,PS 41 GREENWICH VILLAGE,0,0,0,116 W 11TH ST,NEW YORK,NY,100118364,-73.999094,40.73545
310200010042,Public,PS 42 BENJAMIN ALTMAN,0,0,0,71 HESTER ST,NEW YORK,NY,100025499,-73.990826,40.716126
310200010047,Public,AMERICAN SIGN LANGUAGE,0,0,0,223 E 23RD ST,NEW YORK,NY,10010,-73.981329,40.738374
310200010051,Public,PS 51 ELIAS HOWE,0,0,0,525 W 44TH ST,NEW YORK,NY,10036,-73.995825,40.761487
310200010059,Public,PS 59 BEEKMAN HILL INTERNATIONAL,0,0,0,231-249 E 56TH ST,NEW YORK,NY,10019,-73.967204,40.759248
310200010077,Public,PS 77 LOWER LAB SCHOOL,0,0,0,1700 3RD AVE,NEW YORK,NY,10128,-73.95042,40.785018
310200010089,Public,PS 89,0,0,0,201 WARREN ST,NEW YORK,NY,10282,-74.013967,40.71701
310200010104,Public,JHS 104 SIMON BARUCH,0,0,0,330 E 21ST ST,NEW YORK,NY,100105686,-73.981034,40.735879
310200010111,Public,PS 111 ADOLPH S OCHS,0,0,0,440 W 53RD ST,NEW YORK,NY,100195695,-73.989776,40.76588
310200010114,Public,EAST SIDE MIDDLE SCHOOL,0,0,0,331 E 91ST ST,NEW YORK,NY,10028,-73.947379,40.780452
310200010116,Public,PS 116 MARY LINDLEY MURRAY,0,0,0,210 E 33RD ST,NEW YORK,NY,100164894,-73.977906,40.744511
310200010124,Public,PS 124 YUNG WING,0,0,0,40 DIVISION ST,NEW YORK,NY,100026796,-73.996017,40.715097
310200010126,Public,PS 126 JACOB AUGUST RIIS,0,0,0,80 CATHERINE ST,NEW YORK,NY,100381397,-73.99742,40.710651
310200010130,Public,PS 130 HERNANDO DE SOTO,0,0,0,143 BAXTER ST,NEW YORK,NY,100133697,-73.998326,40.71866
310200010131,Public,MS 131,0,0,0,100 HESTER ST,NEW YORK,NY,100025293,-73.993607,40.716231
310200010150,Public,PS 150,0,0,0,334 GREENWICH ST,NEW YORK,NY,10013,-74.01088,40.71953
310200010151,Public,YORKVILLE COMMUNITY SCHOOL,0,0,0,421 E 88TH ST,NEW YORK,NY,10128,-73.947287,40.777948
310200010158,Public,PS 158 BAYARD TAYLOR,0,0,0,1458 YORK AVE,NEW YORK,NY,100218898,-73.950745,40.770215
310200010167,Public,JHS 167 ROBERT F WAGNER,0,0,1,220 E 76TH ST,NEW YORK,NY,100212998,-73.957827,40.771541
310200010177,Public,YORKVILLE EAST MIDDLE SCHOOL,0,0,0,1458 YORK AVE,NEW YORK,NY,10075,-73.950745,40.770215
310200010183,Public,PS 183 ROBERT L STEVENSON,0,0,0,419 E 66TH ST,NEW YORK,NY,100216397,-73.957731,40.763804
310200010198,Public,PS 198 ISADOR E IDA STRAUS,0,0,0,1700 3RD AVE,NEW YORK,NY,101282595,-73.95042,40.785018
310200010212,Public,PS 212 MIDTOWN WEST,0,0,0,328 W 48TH ST,NEW YORK,NY,10036,-73.988665,40.761327
310200010217,Public,PS/IS 217 ROOSEVELT ISLAND,0,0,0,645 MAIN ST,ROOSEVELT ISLAND,NY,10044,-73.956435,40.753598
310200010234,Public,PS 234 INDEPENDENCE SCHOOL,0,0,0,292 GREENWICH ST,NEW YORK,NY,100071001,-74.01088,40.71953
310200010255,Public,MS 255 SALK SCHOOL OF SCIENCE,0,0,0,320 E 20TH ST,NEW YORK,NY,10003,-73.981536,40.735328
310200010255,Public,MS 255 SALK SCHOOL OF SCIENCE,0,0,0,320 E 20TH ST,NEW YORK,NY,10003,-73.981536,40.735328
310200010260,Public,CLINTON SCHOOL (THE),0,0,0,10 E 15TH ST,NEW YORK,NY,10003,-73.992727,40.736526
310200010267,Public,EAST SIDE ELEMENTRAY SCHOOL-PS 267,0,0,0,213 E 63RD ST,NEW YORK,NY,10065,-73.963861,40.763883
