BEDSCode,school_name,address,city,state,zip,longitude,latitude
310200010006,PS 6 LILLIE D BLAKE,45 E 81ST ST,NEW YORK,NY,100280262,-73.960427,40.777737
310200010011,PS 11 WILLIAM T HARRIS,320 W 21ST ST,NEW YORK,NY,100113399,-74.000743,40.744186
310200010033,PS 33 CHELSEA PREP,281 9TH AVE,NEW YORK,NY,100015799,-74.000238,40.749014
310200010040,PS 40 AUGUSTUS SAINT-GAUDENS,320 E 20TH ST,NEW YORK,NY,100032898,-73.981536,40.735328
310200010040,PS 40 AUGUSTUS SAINT-GAUDENS,320 E 20TH ST,NEW YORK,NY,100032898,-73.981536,40.735328
310200010041,PS 41 GREENWICH VILLAGE,116 W 11TH ST,NEW YORK,NY,100118364,-73.999094,40.73545
310200010042,PS 42 BENJAMIN ALTMAN,71 HESTER ST,NEW YORK,NY,100025499,-73.990826,40.716126
310200010047,AMERICAN SIGN LANG & ENG SECONDAR,223 E 23RD ST,NEW YORK,NY,10010,-73.981329,40.738374
310200010051,PS 51 ELIAS HOWE,525 W 44TH ST,NEW YORK,NY,10036,-73.995825,40.761487
310200010059,PS 59 BEEKMAN HILL INTERNATIONAL,231-249 E 56TH ST,NEW YORK,NY,10019,-73.967204,40.759248
310200010077,PS 77 LOWER LAB SCHOOL,1700 3RD AVE,NEW YORK,NY,10128,-73.95042,40.785018
310200010089,PS 89,201 WARREN ST,NEW YORK,NY,10282,-74.013967,40.71701
310200010104,JHS 104 SIMON BARUCH,330 E 21ST ST,NEW YORK,NY,100105686,-73.981034,40.735879
310200010111,PS 111 ADOLPH S OCHS,440 W 53RD ST,NEW YORK,NY,100195695,-73.989776,40.76588
310200010114,EAST SIDE MIDDLE SCHOOL,331 E 91ST ST,NEW YORK,NY,10028,-73.947379,40.780452
310200010116,PS 116 MARY LINDLEY MURRAY,210 E 33RD ST,NEW YORK,NY,100164894,-73.977906,40.744511
310200010124,PS 124 YUNG WING,40 DIVISION ST,NEW YORK,NY,100026796,-73.996017,40.715097
310200010126,PS 126 JACOB AUGUST RIIS,80 CATHERINE ST,NEW YORK,NY,100381397,-73.99742,40.710651
310200010130,PS 130 HERNANDO DE SOTO,143 BAXTER ST,NEW YORK,NY,100133697,-73.998326,40.71866
310200010131,MS 131,100 HESTER ST,NEW YORK,NY,100025293,-73.993607,40.716231
310200010150,PS 150,334 GREENWICH ST,NEW YORK,NY,10013,-74.01088,40.71953
310200010151,YORKVILLE COMMUNITY SCHOOL,421 E 88TH ST,NEW YORK,NY,10128,-73.947287,40.777948
310200010158,PS 158 BAYARD TAYLOR,1458 YORK AVE,NEW YORK,NY,100218898,-73.950745,40.770215
310200010167,JHS 167 ROBERT F WAGNER,220 E 76TH ST,NEW YORK,NY,100212998,-73.957827,40.771541
310200010177,YORKVILLE EAST MIDDLE SCHOOL,1458 YORK AVE,NEW YORK,NY,10075,-73.950745,40.770215
310200010183,PS 183 ROBERT L STEVENSON,419 E 66TH ST,NEW YORK,NY,100216397,-73.957731,40.763804
310200010198,PS 198 ISADOR E IDA STRAUS,1700 3RD AVE,NEW YORK,NY,101282595,-73.95042,40.785018
